,pref_mail_name,pref_class_year,home_city,home_state_code,home_country,home_phone_area_code,home_phone_number,home_email_address,bus_city,bus_state_code,bus_country,bus_phone_area_code,bus_phone_number,bus_email_address,first_name,last_name,pref_name_sort,email_switch,saa_email_address,gsb_email_address,other_email_address,pref_phone_area_code,pref_phone_number,pref_phone_addr_type,memb_status_desc,short_degree_string,parent_degree_string,short_degree_string_spouse,parent_degree_string_spouse,primary_sort_name,plan_name,primary_ind,0
0,,2014,Boston,MA,UAE,,*,*,,,United States,,,,Elijah,Miller,,,elijah.miller8324@stanfordalumni.org,,,,,,,,,,,,,,
1,,,*,*,Japan,,*,*,,,USA,,,,Benjamin,Jones,,,,,,,,,,,,,,,,,
2,,,*,*,,,142 9583-792,,,,Japan,,,,Theodore,Rodriguez,,,*,theodorer3850@stanfordalumni.org,,,,,,,,,,,,,
3,,,Tokyo,,UAE,,*,bgarcia7806@stanfordalumni.org,,,,,,,Benjamin,Garcia,,,,,,,,,,,,,,,,,
4,,,Madrid,,*,,,*,,,Japan,,,,Elizabeth,Brown,,,*,,,,,,,,,,,,,,
5,,,Seoul,,USA,,,*,,,USA,,,,James,Garcia,,,,,,,,,,,,,,,,,
6,,,Madrid,,Japan,,*,,,,USA,,,,Sarah,Smith,,,ssmith1196@alumni.stanford.edu,,,,,,,,,,,,,,
7,,,*,*,Kuwait,,*,w.garcia8781@stanfordalumni.org,,,,,,,William,Garcia,,,,,,,,,,,,,,,,,
8,,2015,Beijing,,USA,,,liam.garcia4896@alumni.stanford.edu,,,UAE,,,,Liam,Garcia,,,liamgarcia4383@stanfordalumni.org,,,,,,,,,,,,,,
9,,2001,Madrid,,,,*,jennifersmith3432@stanfordalumni.org,,,,,,,Jennifer,Smith,,,*,,,,,,,,,,,,,,
10,,,*,*,,,*,,,,Japan,,,,Jennifer,Rodriguez,,,jrodriguez5567@stanfordalumni.org,,,,,,,,,,,,,,
11,,,Beijing,,*,,,,,,China,,,,Elizabeth,Williams,,,*,,,,,,,,,,,,,,
12,,2015,Chicago,IL,USA,,*,,,,United States,,,,Elizabeth,Martinez,,,*,,,,,,,,,,,,,,
13,,,Beijing,,United States,,,mgarcia7353@alumni.stanford.edu,,,China,,,,Mary,Garcia,,,*,,,,,,,,,,,,,,
14,,1999,*,*,UAE,,*,henrymiller3903@alumni.stanford.edu,,,Japan,,,,Henry,Miller,,,*,,,,,,,,,,,,,,
15,,2014,Beijing,,Kuwait,,,*,,,Kuwait,,,,Sarah,Rodriguez,,,,,,,,,,,,,,,,,
16,,,Seoul,,,,,b.brown1999@stanfordalumni.org,,,,,,,Benjamin,Brown,,,*,,,,,,,,,,,,,,
17,,,Seoul,,Japan,,*,*,,,USA,,,,Karen,Davis,,,,,,,,,,,,,,,,,
18,,2010,Shanghai,,,,,hsmith5113@gmail.com,,,*,,,,Henry,Smith,,,henrysmith9852@stanfordalumni.org,,,,,,,,,,,,,,
19,,,Boston,MA,China,,,emartinez65@alumni.stanford.edu,,,Japan,,,,Elijah,Martinez,,,,,,,,,,,,,,,,,
20,,,London,,*,,*,,,,,,,,William,Garcia,,,*,,,,,,,,,,,,,,
21,,,Tokyo,,USA,,201 3338-852,*,,,Japan,,,,Patricia,Martinez,,,pmartinez2454@stanfordalumni.org,,,,,,,,,,,,,,
22,,2006,London,,Japan,,,,,,,,,,Mary,Williams,,,,,,,,,,,,,,,,,
23,,,Beijing,,Japan,,,*,,,*,,,,Noah,Brown,,,,,,,,,,,,,,,,,
24,,,Boston,MA,USA,,,*,,,United States,,,,Henry,Martinez,,,*,,,,,,,,,,,,,,
25,,2011,Chicago,IL,*,,,*,,,China,,,,Mary,Miller,,,,,,,,,,,,,,,,,
26,,,*,*,Kuwait,,*,,,,,,,,James,Martinez,,,*,,,,,,,,,,,,,,
27,,2002,Dubai,,China,,,*,,,,,,,Linda,Garcia,,,*,,,,,,,,,,,,,,
28,,,Madrid,,,,807 6544-675,smartinez1979@stanfordalumni.org,,,United States,,,,Susan,Martinez,,,*,,,,,,,,,,,,,,
29,,,London,,China,,*,,,,United States,,,,Lucas,Jones,,,,,,,,,,,,,,,,,
30,,1993,Madrid,,Japan,,,*,,,United States,,,,James,Johnson,,,j.johnson7440@stanfordalumni.org,,,,,,,,,,,,,,
31,,,Tokyo,,,,*,,,,Kuwait,,,,Patricia,Smith,,,p.smith28@stanfordalumni.org,,,,,,,,,,,,,,
32,,,Tokyo,,United States,,*,,,,USA,,,,Benjamin,Garcia,,,,,,,,,,,,,,,,,
33,,2007,Seoul,,United States,,,,,,United States,,,,Lucas,Williams,,,l.williams7074@alumni.stanford.edu,,,,,,,,,,,,,,
34,,,*,*,Kuwait,,*,,,,UAE,,,,Karen,Rodriguez,,,krodriguez5978@stanfordalumni.org,,,,,,,,,,,,,,
35,,,Seoul,,United States,,*,theodore.garcia8958@stanfordalumni.org,,,UAE,,,,Theodore,Garcia,,,tgarcia8521@alumni.stanford.edu,,,,,,,,,,,,,,
36,,,Chicago,IL,China,,*,*,,,USA,,,,Jessica,Miller,,,jmiller3003@stanfordalumni.org,,,,,,,,,,,,,,
37,,,Dubai,,China,,*,*,,,,,,,Barbara,Williams,,,*,,,,,,,,,,,,,,
38,,,Boston,MA,,,347 5298-695,,,,*,,,elizabethr3161@gmail.com,Elizabeth,Rodriguez,,,erodriguez5214@stanfordalumni.org,,,,,,,,,,,,,,
39,,2015,Dubai,,UAE,,,*,,,,,,,Sarah,Brown,,,sarahbrown6947@stanfordalumni.org,,,,,,,,,,,,,,
40,,2016,,,*,,*,*,,,United States,,,,Linda,Miller,,,*,,,,,,,,,,,,,,
41,,,Tokyo,,USA,,*,maryr1134@stanfordalumni.org,,,United States,,,,Mary,Rodriguez,,,*,,,,,,,,,,,,,,
42,,2016,Dubai,,*,,*,jamesdavis1388@stanfordalumni.org,,,Kuwait,,,,James,Davis,,,*,,,,,,,,,,,,,,
43,,,Seoul,,United States,,*,egarcia4234@gmail.com,,,*,,,,Elizabeth,Garcia,,,elizabethgarcia305@stanfordalumni.org,,,,,,,,,,,,,,
44,,,,,Japan,,*,,,,Japan,,,e.brown6802@gmail.com,Elizabeth,Brown,,,ebrown9376@stanfordalumni.org,,,,,,,,,,,,,,
45,,1993,London,,,,*,jamesrodriguez6874@alumni.stanford.edu,,,USA,,,,James,Rodriguez,,,*,,,,,,,,,,,,,,
46,,,*,*,United States,,*,ksmith5011@alumni.stanford.edu,,,,,,,Karen,Smith,,,,,,,,,,,,,,,,,
47,,,Seoul,,UAE,,*,,,,,,,,Patricia,Jones,,,pjones7704@alumni.stanford.edu,,,,,,,,,,,,,,
48,,,Madrid,,Japan,,,*,,,United States,,,,Theodore,Martinez,,,,,,,,,,,,,,,,,
49,,,,,Kuwait,,,*,,,,,,,Benjamin,Garcia,,,*,,,,,,,,,,,,,,
50,,,Tokyo,,Japan,,,,,,United States,,,,Oliver,Davis,,,oliverd9743@alumni.stanford.edu,,,,,,,,,,,,,,
51,,2008,London,,China,,,*,,,Japan,,,,William,Davis,,,,,,,,,,,,,,,,,
52,,2014,,,Japan,,,,,,*,,,,Susan,Martinez,,,*,,,,,,,,,,,,,,
53,,,London,,United States,,,,,,USA,,,,Oliver,Williams,,,,oliver.williams6976@gmail.com,,,,,,,,,,,,,
54,,2000,Dubai,,China,,,,,,Japan,,,,Theodore,Davis,,,*,,,,,,,,,,,,,,
55,,,,,*,,*,sarah.brown1140@gmail.com,,,,,,,Sarah,Brown,,,,,,,,,,,,,,,,,
56,,,,,United States,,*,karen.martinez6370@alumni.stanford.edu,,,*,,,,Karen,Martinez,,,,,,,,,,,,,,,,,
57,,,Madrid,,United States,,,*,,,,,,,James,Davis,,,*,,,,,,,,,,,,,,
58,,,Tokyo,,China,,,,,,,,,,Jennifer,Rodriguez,,,,,,,,,,,,,,,,,
59,,2003,Beijing,,*,,*,lmartinez1820@alumni.stanford.edu,,,Kuwait,,,,Lucas,Martinez,,,,,,,,,,,,,,,,,
60,,1997,Shanghai,,,,*,*,,,Japan,,,,Lucas,Martinez,,,*,,,,,,,,,,,,,,
61,,,Tokyo,,,,,*,,,China,,,,Henry,Garcia,,,*,,,,,,,,,,,,,,
62,,,,,Japan,,,noahwilliams1533@alumni.stanford.edu,,,,,,,Noah,Williams,,,,,,,,,,,,,,,,,
63,,2003,Seoul,,Japan,,*,,,,*,,,,Sarah,Martinez,,,,,,,,,,,,,,,,,
64,,2015,London,,USA,,*,henry.williams8495@alumni.stanford.edu,,,*,,,,Henry,Williams,,,*,,,,,,,,,,,,,,
65,,2004,Tokyo,,,,,*,,,Kuwait,,,,Sarah,Smith,,,,,,,,,,,,,,,,,
66,,,Dubai,,Japan,,,elizabethjohnson9113@stanfordalumni.org,,,China,,,,Elizabeth,Johnson,,,e.johnson5992@alumni.stanford.edu,,,,,,,,,,,,,,
67,,,Dubai,,*,,*,*,,,UAE,,,,Jessica,Jones,,,jessica.jones2701@alumni.stanford.edu,,,,,,,,,,,,,,
68,,,*,*,China,,,,,,,,,,William,Johnson,,,w.johnson6720@alumni.stanford.edu,,,,,,,,,,,,,,
69,,,Dubai,,China,,,,,,United States,,,,Susan,Martinez,,,,,,,,,,,,,,,,,
70,,,Tokyo,,UAE,,,*,,,*,,,,Mary,Smith,,,,,,,,,,,,,,,,,
71,,,Dubai,,China,,*,*,,,,,,,Susan,Garcia,,,susan.garcia2927@alumni.stanford.edu,,,,,,,,,,,,,,
72,,,Madrid,,*,,,*,,,United States,,,,Linda,Miller,,,*,,,,,,,,,,,,,,
73,,2013,,,Japan,,692 1047-970,,,,Japan,,,,Susan,Brown,,,,,,,,,,,,,,,,,
74,,,,,*,,*,karen.smith6096@stanfordalumni.org,,,USA,,,karen.smith2368@gmail.com,Karen,Smith,,,,,,,,,,,,,,,,,
75,,,Beijing,,Japan,,*,t.garcia49@stanfordalumni.org,,,China,,,,Theodore,Garcia,,,theodore.garcia4127@alumni.stanford.edu,,,,,,,,,,,,,,
76,,,Madrid,,,,*,theodorem2809@alumni.stanford.edu,,,*,,,,Theodore,Martinez,,,t.martinez7971@alumni.stanford.edu,,,,,,,,,,,,,,
77,,2014,Chicago,IL,Japan,,*,,,,United States,,,,Benjamin,Jones,,,*,,,,,,,,,,,,,,
78,,2007,Seoul,,,,,susanmiller6895@alumni.stanford.edu,,,*,,,,Susan,Miller,,,*,,,,,,,,,,,,,,
